seed,biting_rate,ectopic_recombination_rate,immigration_rate_fraction,immunity_loss_rate,mutation_rate,n_genes_initial,switching_rate,transmissibility,instance
10407_-1645818963_548746318_440099794_143370804_-548492161_249546247,8.64180150283901e-05,4.65287984298021e-07,0.00134587781203847,0.000881162509754851,2.36615071380951e-08,26353.9921497982,0.183986518177446,0.699190179702685,1
10407_-363950260_-864007039_1529726914_-409305868_-670976700_723026206,9.58127241279485e-05,1.39966393119261e-06,0.00422834694037981,0.0019426722395664,1.31888822058393e-08,10017.9776662223,0.173141356312266,0.46799957217946,2
10407_-310576051_-443186231_1234569748_76923062_1387306546_-309616276,6.97493113094636e-05,2.82286041777162e-07,0.00339411122030751,0.00130717796746437,1.0631390783188e-08,20341.1703161294,0.194049444080641,0.771649863720629,3
10407_-1515242020_-1576741206_-11449651_-783708047_1716218842_627172014,9.99332783414e-05,1.52141990274513e-06,0.00226472495160827,0.0006917596889327,1.6553360585874e-08,18636.7915445348,0.199813672056289,0.384373741454026,4
10407_938392635_-1982904907_-1517038136_-202780809_1451029597_1494431831,6.79697722409736e-05,1.34632192919269e-06,0.00263162598365952,0.00100784408570912,2.22280754616914e-08,16704.366111264,0.186418966360703,0.368887169835054,5
10407_-12081935_-1215743205_-1850867630_13015048_-175155923_978818417,6.04211919833779e-05,1.78862289326318e-06,0.00504992816618383,0.00173321280870366,1.5308694752901e-08,12427.0747542899,0.186568945380188,0.968973111318013,6
10407_-547697792_879559495_-623273946_-2028524519_1825699665_1636958025,8.8984199722906e-05,4.26618197878925e-07,0.00496102558663235,0.00105670113203557,2.05084154455518e-08,11959.6453984901,0.199908784783519,0.77448878112691,7
10407_-398910215_-724655204_141234094_212689848_912101053_-721622215,7.65298324656685e-05,5.2733635664999e-07,0.00456782785741058,0.000905526712761303,1.52709270152681e-08,34442.5598080858,0.18554358226809,0.957520345430814,8
10407_-126602366_572111641_792103641_757116781_-1990669391_-1530730288,8.58709757439168e-05,1.51606928504318e-06,0.00272879820621759,0.00160033417074892,1.00950493717923e-08,14192.0372849447,0.173670190584837,0.399004816923288,9
10407_-1187581846_804256098_1830769663_2059872726_-1569502420_1868913916,6.38903243192995e-05,1.6357399537431e-06,0.00228383673867817,0.00117486422296241,9.37870002912434e-09,18848.5332483065,0.181514510127806,0.989799022507303,10
10407_-900325254_814990990_1904172349_1794930811_1037892147_124466378,6.6171431136996e-05,7.12247313516243e-07,0.0022321584415122,0.00147640685175161,2.1669623330428e-08,27477.8466864318,0.196882913578873,0.665168350598531,11
10407_50731175_-1251605829_1336273917_1020244952_393608414_1549618703,6.60236276376343e-05,1.18776336996964e-06,0.00237853201998362,0.000571046207193049,9.42592364057253e-09,12099.0183616724,0.185024701574314,0.650132699738871,12
10407_832391384_-1233535909_1407069215_281896174_1825355516_2055427888,8.96949419781139e-05,5.5411614070725e-07,0.00314337473426126,0.000860845450788819,8.91892673666899e-09,24595.4392556483,0.182522332663854,0.806539576158252,13
10407_-233989806_1558690374_-1146528549_570192030_935490147_991003550,9.76723753951165e-05,1.60117126174411e-06,0.00202615155168321,0.000929288693672668,7.11420000791379e-09,31321.117836623,0.171373547573588,0.433555616288686,14
10407_-1656548170_756344101_1330786920_-1465907579_1922690776_1787621363,5.56702872680925e-05,9.29224047024556e-07,0.00474770705229682,0.000597749941541592,2.47472027674238e-08,10820.2865258982,0.17587018497708,0.556598281040838,15
10407_1340055383_710532606_1892612518_1061504700_-1628503584_1226759759,9.45075329963419e-05,5.4097131155801e-07,0.0032733073727915,0.000591446318388369,2.15774172471858e-08,32936.1984284641,0.173520011561103,0.978677151581205,16
10407_-1785218568_1348013060_-1082870783_-816944231_-1932665510_-935432721,9.10236391487454e-05,5.00768164628758e-07,0.00289421204208069,0.000726262823957596,2.3354601838721e-08,30342.2070808871,0.171703874047261,0.313058604663055,17
10407_-1229194626_-261729975_-1743792692_-1800759509_1718645364_552156879,7.71595621762175e-05,6.23610207551785e-07,0.00256994496514198,0.00129463830076257,7.31062071239874e-09,18397.7881024103,0.187911216571247,0.335390305399868,18
10407_-61127568_300905442_-1514628803_-185961662_719217930_-1731811168,9.38178491048268e-05,1.16564245280176e-06,0.00334925852617561,0.00107569184148047,9.21248078476405e-09,14921.6376216196,0.184061525355098,0.372667989906702,19
10407_-976661355_1602057142_-419649361_1813271499_397927081_-1488188775,5.11682121962412e-05,1.01624495164613e-06,0.00405556459467643,0.000759752202834852,2.32873539829675e-08,32758.8322453535,0.19155799294913,0.221356483083669,20
10407_1949830134_1957681781_1462830362_-574492854_803179912_2080625469,8.2105444547396e-05,9.16698279912494e-07,0.0040405835258956,0.00132589475492896,1.84932872457653e-08,20060.986504402,0.193403866408959,0.950059799240961,21
10407_1289895254_-2082734260_-1941256471_1135117048_-485875964_374130098,8.62084741341925e-05,6.10644398351391e-07,0.00311049854140226,0.000711176845524483,1.73021482245193e-08,30787.0273896432,0.172800773306793,0.857807157524556,22
10407_730635275_-706798388_-1798359361_-707546451_-1685354993_341516654,7.7533946611208e-05,1.79991309091175e-06,0.00192731059972018,0.00114177288487014,1.33482696808532e-08,14217.6209089825,0.171872505514268,0.877072055206928,23
10407_-361235107_1761252530_-610784797_-545188903_229799120_-1189083610,8.25944466796866e-05,9.41685493929139e-07,0.00452341558355328,0.00182917338753978,1.50272333487277e-08,33741.5025646408,0.187408731793573,0.209382582916649,24
