"","target_names","target_groups","targets","current_lower_bounds","current_upper_bounds","stopping_lower_bounds","stopping_upper_bounds","scales"
"1","prevalence","All",0.356214248569943,0.231539261570463,0.480889235569423,0.320592823712949,0.391835673426937,0.0118738082856648
"2","meanMOIvar","All",4.51908355698637,2.93740431204114,6.1007628019316,4.06717520128773,4.97099191268501,0.150636118566212
"3","meanPTS","All",0.0485795183660005,0.0315766869379003,0.0655823497941007,0.0437215665294005,0.0534374702026006,0.00161931727886668
"4","meanPTSGroupA","A",0.117161199949017,0.07029671996941,0.164025679928623,0.0937289599592133,0.14059343993882,0.00781074666326778
"5","meanPTSGroupBC","BC",0.0324230920976475,0.0210750098634709,0.0437711743318241,0.0291807828878828,0.0356654013074123,0.00108076973658825
"6","numGenes","All",27708,18010.2,37405.8,24937.2,30478.8,923.6
"7","numGenesGroupA","A",1314,854.1,1773.9,1182.6,1445.4,43.8
"8","numGenesGroupBC","BC",26394,17156.1,35631.9,23754.6,29033.4,879.8
"9","ShannonDiversity","All",9.38407037722052,8.44566333949847,10.3224774149426,8.9148668583595,9.85327389608155,0.156401172953676
"10","ShannonDiversityA","A",6.307565774979,5.6768091974811,6.9383223524769,5.99218748623005,6.62294406372795,0.10512609624965
"11","ShannonDiversityBC","BC",9.49420652413189,8.5447858717187,10.4436271765451,9.01949619792529,9.96891685033848,0.158236775402198
"12","inverseSimpsonIndex","All",3757.81517012952,3382.03365311657,4133.59668714247,3569.92441162304,3945.705928636,62.6302528354921
"13","inverseSimpsonIndexA","A",293.294980986848,263.965482888164,322.624479085533,278.630231937506,307.959730036191,4.88824968311415
"14","inverseSimpsonIndexBC","BC",4437.5271532345,3993.77443791105,4881.27986855795,4215.65079557277,4659.40351089622,73.9587858872416
